Story,Works with,No. of Actions,Author
Host your Teams contact details using Records and Pages,,11,Sif Baksh
Compare and optimize AI Prompts in Tines,,10,Michael Tolan
Cisco Secure Endpoint weekly audit,,14,Tom Power at University of British Columbia
Search artists in the Art Institute of Chicago,,33,Matthew Wong
Onboard GitHub projects to SonarCloud and Airtable,", , ",36,Tyler Talaga
UAT Plan Generator,,3,Shub
Game: Heroes and Villians Top Trumps game,,46,Nathan Collings at Holland & Barrett
Badge Management,,9,Yanni Hajioannou
Submit approved SaaS apps from Nudge Security to Security Scorecard,,3,Jaime Blasco at Nudge Security
Query Spectra Intelligence for existing classification of inputted Hash,,9,
Query Spectra Intelligence for URL reputation,,16,
Update user in Tines,,6,Michael Tolan
Monitor employees using Code42,,8,
"Enrich CVE information using Microsoft, Recorded Future, CIRCL and GreyNoise",", , ",6,Michael Tolan
Sync IriusRisk projects with GitHub Terraform repositories,", , ",21,Conor Dunne
Search for AppStore apps with no approvers in Lumos and alert in Microsoft Teams,", ",6,Michael Tolan
