Tool Name,Story,Works with,No. of Actions,Author
Tines,Notify and assign training based on Harmonic Security alerts,"['Harmonic Security', 'Knowbe4', 'Notion', 'Slack', 'Tines']",17,Harmonic Security
Tines,Close Tines Cases if JupiterOne vulnerabilities are resolved,"['JupiterOne', 'Tines']",14,
Tines,Monitor Intercom for sensitive content with Nightfall and record in Tines,"['Intercom', 'Nightfall AI', 'Tines']",7,Conor Dunne
Tines,Monitor RSS feed for keywords and send to Slack,"['Slack', 'Tines']",13,Nick Page
Tines,Verify user identities using Nametag and Tines pages,['Tines'],9,Andy Caird at Nametag
Tines,Sync Intercom conversations with Tines cases,"['Intercom', 'Tines']",26,
Tines,Ingest Tines audit logs into Snowflake,"['Snowflake', 'Tines']",13,Michael Tolan
Tines,Analyze Tines action failures with AI and get remediation advice,['Tines'],16,Michael Tolan
Tines,Sync Github file with a Tines Resource,"['GitHub', 'Tines']",13,Nick Page
Tines,Update user in Tines,['Tines'],6,Michael Tolan
Google,Generate a Google service account credential,"['Google', 'Tines']",7,Aaron Sandow
Google,Triage Elastic Security alerts and block malicious IPs,"['Elastic', 'Google', 'GreyNoise']",17,
Google,Offboard employees using BambooHR,"['BambooHR', 'Google', 'Okta', 'Slack']",18,
Google,Add new employees to BambooHR and manage system access,"['BambooHR', 'Google', 'Microsoft Azure', 'Okta', 'Slack']",17,Michael Tolan
Google,Onboard employees & grant specialized access to specific tools,"['GitHub', 'Google', 'Zoom']",21,
Google,"Disable accounts in Google Workspace, GitHub, and Okta","['GitHub', 'Google', 'Jira Software', 'Okta']",23,Aaron Sandow
Google,Triage new alerts in Google Alert Center with human oversight,"['Google', 'Jira Software', 'Slack']",19,
Google,"Analyze Elastic alerts, block IPs, and notify in Slack and Tines Cases","['Elastic', 'Google', 'GreyNoise', 'Slack', 'Tines']",10,Michael Tolan
Google,Move Google Docs and Calendar to another user in Google Workspace,['Google'],17,
Google,Onboard employees to BambooHR and grant access to office suites and Microsoft Teams,"['BambooHR', 'Google', 'Microsoft', 'Microsoft Teams', 'Okta']",11,
Google,Check mailboxes for external autoforward rules and filters in Google Workspace,['Google'],28,
Google,Create Jira issues for new alerts from Google Alert Center,"['Google', 'Jira Software']",8,
Google,Add devices in Kandji to Google Sheets,"['Google', 'Kandji']",7,Michael Tolan
Google,Implement data loss prevention policies,"['Google', 'Panther', 'Slack']",35,
Google,Create Zendesk Ticket via Google Forms,"['Google', 'Zendesk']",8,
Google,Move security logs from Google Workspace to Elastic Security,"['Elastic', 'Google']",4,
Google,Retrieve & deduplicate Google Chronicle alerts,['Google'],5,
Google,Make a query in Google BigQuery,['Google'],12,
Google,Organize new form responses in Google Sheets,"['Google', 'Google Sheets']",3,
Google,Create instant Google Meets via Slackbot,"['Google', 'Slack']",5,Eoin Magner
Google,Backup Tines stories to Google Cloud Storage,"['Google', 'Google Cloud Storage']",24,Michael Tolan
Google,Onboard employees with flexible forms,"['GitHub', 'Google', 'Zoom']",14,
Google,Copy & update a Google Docs template in a shared folder,['Google'],8,
Google,Add suspicious domains to Google Chronicle reference list,"['Google', 'VirusTotal']",5,
Google,Update Excel files in OneDrive through email attachments and Pages,"['Google', 'Microsoft OneDrive']",26,
Google,Take out the trash in Gmail,['Google'],16,
Google,Create Google Calendar events from Notion database,"['Google', 'Notion']",9,Jesse Johnson at Material Security
Google,Audit & enforce compliance on endpoints with SimpleMDM,"['BambooHR', 'Google', 'Slack']",49,
Google,Add expense receipt photos to Navan,['Google'],5,
Google,Add video conferencing and meeting notes to new Google Calendar events,"['Google', 'Google Calendar', 'Zoom']",22,
Google,Remove public access permissions in Google Drive,"['Google', 'Google Drive']",12,Michael Tolan
Google,Create email filters for a user in Gmail,"['Gmail', 'Google']",8,Conor Dunne
Google,Create an identity federation between GCP and AWS,"['AWS', 'Google']",5,Marcus Hallberg at Spotify
Google,Triage Google Chronicle cases from Slack,"['Google', 'Slack']",43,Sakil Khan
Google,Reset Google account password and notify via Slack,"['Google', 'Slack']",13,Conor Dunne
Google,Send Google Workspace security logs to ELK,"['Elastic', 'Google']",6,
Google,Backup and download logs from AWS S3 warm storage,"['Google', 'Okta', 'Tines']",45,Conor Dunne
Google,Manage Google Calendar swiftly when unexpected alerts trigger,"['Google', 'Slack']",42,
Google,Create and manage an Email API through Tines,"['Google', 'ServiceNow', 'Tines']",33,
Google,Build a software report in runZero enriched with software end of life dates,"['Google', 'runZero']",11,Conor Dunne
Google,Offboard employees using HiBob,"['Google', 'HiBob', 'Okta', 'Slack']",18,
Google,Send simple messages or cards to Google Spaces,['Google'],20,
Google,Save Tines Story in Google Cloud Platform,['Google'],5,
Google,Create or suspend role in Google,['Google'],18,
Google,Perform Google Workspace access review,"['Google', 'Slack']",11,Rosie Halpin
Google,Retrieve a directory from an endpoint using CrowdStrike and save to Google Drive,"['CrowdStrike', 'Google', 'Google Drive']",22,Conor Dunne
Google,Upload a file to Google Cloud Storage,"['Google', 'Google Cloud Storage']",7,Michael Tolan
Google,Send Google Workspace security logs to AWS S3,"['AWS', 'Google']",8,Michael Tolan
Google,Discover inactive Service Accounts in Google Cloud,"['Google', 'Jira Software', 'Slack', 'Wiz']",13,
Google,Recover deleted emails in Gmail,['Google'],12,
Google,Export Tines story time saved time series data to Google Sheets,"['Google', 'Tines']",17,
Google,Create custom Gmail filters from Sublime Security findings,"['Gmail', 'Google', 'Sublime Security']",14,Conor Dunne
Google,Run Javascript with Google Cloud Functions,['Google'],2,
Google,Create versioned backups on Google Drive files using Box,"['Google', 'Google Drive']",13,Conor Dunne
Google,Create and populate a Google file,"['Google', 'Google Sheets']",17,
Google,Manage Elasticsearch and GKE clusters via Slack bot,"['Argo Workflows', 'Google', 'Kubernetes']",41,Christopher Cutajar at Elastic
Google,Distribute IoC's using Pub/Sub in Google Cloud,['Google'],8,Conor Dunne
Google,Retrieve overly permissive Google Cloud firewall rules with Wiz,"['Google', 'Wiz']",11,Conor Dunne
Google,Respond to publicly exposed files in Google Drive with Reco,"['Google', 'Reco']",30,
Google,Retrieve alerts from Google Security Command Center,['Google'],19,
Google,Retrieve Google Security Command Center findings and create issues in Jira,"['Google', 'Jira Software']",12,Conor Dunne
Google,Track Google search trends using SerpApi and save to OneDrive,"['Google', 'Microsoft', 'Microsoft OneDrive', 'SerpApi']",10,Michael Tolan
Google,Respond to Google Drive public exposure alerts in Reco and secure files,"['Google', 'Google Drive', 'Reco', 'Slack']",46,
Google,Manage browser extension requests with Secure Annex,['Google'],7,John Tuckner at Secure Annex
Google,Disable Google Accounts based on SpyCloud breaches,"['Google', 'Jira Software', 'SpyCloud']",19,SpyCloud
Google,Monitor user activity in Google Drive,"['Google', 'Google Drive']",18,Christopher Toole at OVO Group
Google,Use ChatGPT for triaging with internal playbooks,"['AWS', 'Google']",32,Matt Houston
Google,Search Google Vault for user activity,['Google'],18,Matt Houston
Google,Synchronize Google Group email list with an AirTable database,"['Airtable', 'Google']",8,Conor Dunne
Google,Record IoCs in Google FireBase,"['FireBase', 'Google']",13,Conor Dunne
Google,Send Google Workspace security logs to LogScale,"['Google', 'LogScale']",6,
CrowdStrike,Analyze CrowdStrike detections,"['CrowdStrike', 'Jira Software', 'Slack', 'VirusTotal']",13,
CrowdStrike,Analyze and triage suspicious emails with various tools,"['CrowdStrike', 'EmailRep', 'Jira Software', 'NextDNS', 'URLScan.io', 'VirusTotal']",59,Michael Tolan
CrowdStrike,Run a CrowdStrike Real Time Response command,['CrowdStrike'],11,
CrowdStrike,Lookup IOCs in different tools via Slackbot,"['AbuseIPDB', 'Anomali ThreatStream', 'CrowdStrike', 'Hunter.io', 'Hybrid Analysis', 'MetaDefender', 'Pulsedive', 'Slack', 'URLScan.io', 'VirusTotal']",66,Emily Nguyen
CrowdStrike,Fetch and record CrowdStrike Spotlight vulnerabilities with Jira,"['Automox', 'CrowdStrike', 'Jira Software']",26,
CrowdStrike,"Ingest, analyze and store IOCs with Tines","['AbuseIPDB', 'CrowdStrike', 'GreyNoise', 'Pulsedive', 'Sublime Security', 'Tines', 'URLScan.io', 'VirusTotal']",45,Michael Tolan
CrowdStrike,Analyze Crowdstrike detections and report in Jira and Microsoft Teams,"['CrowdStrike', 'Jira Software', 'Microsoft', 'Microsoft Teams']",13,
CrowdStrike,Check CrowdStrike agent is installed on new devices provisioned,"['CrowdStrike', 'Qualys', 'ServiceNow', 'Slack']",18,Shaun Finn
CrowdStrike,Normalize alerts from multiple sources using ChatGPT,"['CrowdStrike', 'Elastic', 'Lacework', 'OpenAI']",16,
CrowdStrike,Contain a registered device with CrowdStrike,"['CrowdStrike', 'Jira Software', 'Slack']",10,
CrowdStrike,Use AI to create cases and act on CrowdStrike alerts,"['CrowdStrike', 'Okta', 'PagerDuty', 'Zscaler']",87,Conor Dunne
CrowdStrike,Kill an active process in CrowdStrike,['CrowdStrike'],21,Conor Dunne
CrowdStrike,Add CrowdStrike Spotlight vulnerability evidence to Drata,"['CrowdStrike', 'Drata']",16,
CrowdStrike,Analyze and triage suspicious emails across tools and Tines cases,"['CrowdStrike', 'EmailRep', 'Tines', 'URLScan.io', 'VirusTotal']",65,Michael Tolan
CrowdStrike,Manage CrowdStrike IOCs in Slack,"['CrowdStrike', 'Slack']",38,
Okta,Offboard employees using BambooHR,"['BambooHR', 'Google', 'Okta', 'Slack']",18,
Okta,Grant temporary application access,"['Jira Software', 'Okta', 'Slack', 'Tines']",30,"Shaun Finn , Rosie Halpin and Michael Tolan"
Okta,Add new employees to BambooHR and manage system access,"['BambooHR', 'Google', 'Microsoft Azure', 'Okta', 'Slack']",17,Michael Tolan
Okta,Send an Okta MFA challenge via a Tines page,"['Okta', 'Slack']",34,
Okta,Correlate & alert on failed login attempts in Okta via Slack,"['Okta', 'Slack']",8,
Okta,Enrich & remediate suspicious logins reported in Okta,"['AbuseIPDB', 'Okta', 'Slack', 'VirusTotal']",14,Derek Wohlfahrt
Okta,Use AI to create cases and act on CrowdStrike alerts,"['CrowdStrike', 'Okta', 'PagerDuty', 'Zscaler']",87,Conor Dunne
Okta,"Disable accounts in Google Workspace, GitHub, and Okta","['GitHub', 'Google', 'Jira Software', 'Okta']",23,Aaron Sandow
Okta,Add a user to Okta,['Okta'],10,
Okta,Detect and Respond to Okta Impossible Travel Sign-ins with Slack and Tines Cases,"['Okta', 'Slack']",25,
Okta,Onboard employees to BambooHR and grant access to office suites and Microsoft Teams,"['BambooHR', 'Google', 'Microsoft', 'Microsoft Teams', 'Okta']",11,
Okta,Send an MFA push challenge to an Okta user on-demand,"['Okta', 'Slack']",11,
Okta,Reset a user's password and active sessions in Okta,['Okta'],9,Michael Tolan
Okta,Report on inactive Okta accounts using Tines cases and deactivate,['Okta'],19,
Okta,Approve user access to Okta or Office 365 using Pages,"['Jira Software', 'Microsoft', 'Okta', 'Slack']",44,
Okta,Monitor application access changes in Okta,['Okta'],18,Michael Tolan
Okta,Verify a user using Slack and Okta verify,"['Okta', 'Slack']",27,
Okta,Search Okta logs for user or IP activity,['Okta'],12,Michael Tolan
Okta,Enrich & remediate suspicious logins reported in Okta using Cases & Records,['Okta'],56,Sam Olson at Omada Technologies
Okta,Reset a user's password in Okta,['Okta'],8,Conor Dunne
Okta,Lookup user in Okta,['Okta'],17,Michael Tolan
Okta,Export recent Okta logs to AWS S3,"['AWS', 'Okta']",10,
Okta,Lookup user in multiple platforms,"['BambooHR', 'Okta', 'Slack', 'Tines']",11,Michael Tolan
Okta,Receive password breach alerts from SpyCloud and secure accounts,"['CrowdStrike', 'Jira Software', 'Okta', 'SpyCloud']",23,Conor Dunne
Okta,Manage Okta apps using pages in Tines,['Okta'],67,Michael Tolan
Okta,Report and lock lost devices in Jamf with Okta SSO,"['Jamf', 'Jira Software', 'Okta', 'Slack']",27,Sakil Khan
Okta,Respond to Okta alerts with Mattermost & Jira,"['Jira Software', 'Mattermost', 'Okta']",20,
Okta,Disable new MFA devices in Okta,['Okta'],6,Michael Tolan
Okta,Refresh Okta zones with latest active Zscaler IP ranges,"['Okta', 'Zscaler']",16,
Okta,Investigate and remediate multiple denied MFA push requests in Okta,"['IPQualityScore', 'Microsoft Teams', 'Okta', 'Tines', 'VirusTotal']",31,Claudia Kinsella
Okta,Track Okta Active Directory agents using Records and Microsoft Teams,"['Microsoft Teams', 'Okta', 'Tines']",11,Taylor Rainwater at Fortune Brands
Okta,Monitor Okta for invalid sign-in attempts and resolve via Slack,"['Okta', 'PagerDuty', 'Slack']",14,
Okta,Invalidate authentication sessions for a user in Okta,['Okta'],14,Conor Dunne
Okta,Backup and download logs from AWS S3 warm storage,"['Google', 'Okta', 'Tines']",45,Conor Dunne
Okta,Request and approve access to new tools with an audit trail,"['AWS', 'GitHub', 'Jira Software', 'Okta', 'Slack']",31,Michael Tolan
Okta,Time-based Okta group membership,"['Okta', 'Slack']",11,Scott Bean
Okta,Provide a password reset page for Okta,['Okta'],8,
Okta,Provide a password reset page in Tines,"['Jira Software', 'Okta', 'Slack']",18,Michael Tolan
Okta,Offboard employees using HiBob,"['Google', 'HiBob', 'Okta', 'Slack']",18,
Okta,Verify User Identity through slack with Okta/Yubikey OTP,['Okta'],15,Pendie Garrett at Credit Karma
Okta,Scan Okta logins with Spur for proxies and VPNs and raise a case in Tines,"['Okta', 'Spur', 'Tines']",20,Michael Tolan
Okta,Automate Response to Data Risk with Tines and Code42 Incydr,"['Code42', 'Jira Software', 'Okta']",13,
Okta,Allow developers to manage OIDC applications in Okta,['Okta'],8,Florian Baumgartner at IMC
Okta,"Retrieve Code42 alerts, send to Slack and suspend user in Okta","['Code42', 'Okta', 'Slack']",32,
Okta,Provision AWS and Vault access via Okta,"['AWS', 'HashiCorp', 'Okta']",25,Zach Perry at PathAI
Okta,Manage Okta user groups and create Jira tickets via Slack,"['AWS', 'Jira Software', 'Knowbe4', 'Okta', 'Slack']",140,Sandeep Kumar
Okta,Manage Okta login threshold limit in Jira via Slack,"['Jira Software', 'Okta', 'Slack']",15,
Okta,Log Axonius users without an Okta connection with BMC Remedy,"['Axonius', 'BMC Helix IT Service Management', 'Okta']",5,
Okta,Retrieve & enrich Okta alerts from Logz.io,"['Logz.io', 'Okta', 'Slack']",27,
Okta,Assign New Okta Administrator Role to Okta from BambooHR through Opal,"['BambooHR', 'Jira Software', 'Okta', 'Opal']",16,
Okta,Sync Okta groups with Fleet labels,"['Fleet', 'Okta']",15,Dave Herder at Fleet
Microsoft,Search Microsoft sign in logs,['Microsoft'],8,
Microsoft,Add a new user in Microsoft Entra ID,"['Jira Software', 'Microsoft', 'Microsoft Azure', 'Microsoft Teams']",6,Michael Tolan
Microsoft,Analyze Crowdstrike detections and report in Jira and Microsoft Teams,"['CrowdStrike', 'Jira Software', 'Microsoft', 'Microsoft Teams']",13,
Microsoft,Query Log Analytics for Azure Sentinel alerts,"['Microsoft', 'Microsoft Azure']",5,
Microsoft,Fetch & manage Microsoft Defender alerts,"['Jira Software', 'Microsoft']",5,
Microsoft,Search and delete spam in an Office 365 mailbox,['Microsoft'],10,
Microsoft,Send a message to user in Microsoft Teams,"['Microsoft', 'Microsoft Teams']",17,
Microsoft,Manage alerts from Microsoft Defender Cloud,"['Microsoft', 'Microsoft Teams']",39,
Microsoft,Invalidate user's password in Azure Active Directory,"['Microsoft', 'Microsoft Azure']",9,
Microsoft,Invalidate authentication sessions for a user in Azure Entra ID,"['Microsoft', 'Microsoft Azure']",17,Michael Tolan
Microsoft,Take action on Azure Sentinel alerts depending on severity level,"['Jira Software', 'Microsoft', 'Microsoft Azure', 'Microsoft Teams']",30,Shaun Finn
Microsoft,Investigate and enrich suspicious Office 365 login Elastic alerts,"['Elastic', 'Microsoft']",20,
Microsoft,Onboard employees to BambooHR and grant access to office suites and Microsoft Teams,"['BambooHR', 'Google', 'Microsoft', 'Microsoft Teams', 'Okta']",11,
Microsoft,Retrieve and remediate Cyera issues,"['Cyera', 'Microsoft', 'Microsoft Azure', 'Microsoft OneDrive']",45,Monolithic Power Systems
Microsoft,Create new Azure AD users via a form,"['Jira Software', 'Microsoft', 'Microsoft Azure']",10,Shaun Finn
Microsoft,Enrich Microsoft security update CVEs with Recorded Future,"['Microsoft', 'Recorded Future']",18,Derek Wohlfahrt
Microsoft,Authenticate to Microsoft Graph through multiple user identities with Tines Pages,['Microsoft'],8,Matthew at Alteryx
Microsoft,Review Azure Activity Reports for inactive user and licenses,"['Microsoft', 'Microsoft Azure']",12,Conor Dunne
Microsoft,Approve user access to Okta or Office 365 using Pages,"['Jira Software', 'Microsoft', 'Okta', 'Slack']",44,
Microsoft,Using the Microsoft Office 365 management API to view audit logs,['Microsoft'],9,
Microsoft,Delete an email from a specified user's mailbox,['Microsoft'],4,
Microsoft,Analyze files with VMRay,"['Microsoft', 'Microsoft Teams', 'Slack', 'VMRay']",31,
Microsoft,Receive Azure Sentinel alerts and block IPs with firewall rules,"['Microsoft', 'Microsoft Azure']",15,Conor Dunne
Microsoft,Find and reboot devices with failed Microsoft Intune updates,"['Microsoft', 'Microsoft Azure']",6,Conor Dunne
Microsoft,Send multifactor push prompt in Azure Entra ID,['Microsoft'],20,Nathan Collings at Holland & BarrettJohn Tuckner
Microsoft,Communicate across channels in Microsoft Teams and Slack,"['Microsoft', 'Microsoft Teams', 'Slack']",15,Michael Tolan
Microsoft,Retrieve emails from Outlook and add the details to a Microsoft OneDrive spreadsheet,"['Microsoft', 'Microsoft OneDrive']",9,Conor Dunne
Microsoft,Enrich CrowdStrike detections with Active Directory and correlate in Jira tickets,"['CrowdStrike', 'Jira Software', 'Microsoft', 'Microsoft Azure']",24,
Microsoft,Add Notion database entries as Outlook calendar events,"['Microsoft', 'Notion']",4,Michael Tolan
Microsoft,Update groups assigned to a user in Microsoft Entra ID,"['Microsoft', 'Microsoft Azure']",58,Michael Tolan
Microsoft,Retrieve and respond to Azure guest accounts detected by Wiz,"['Microsoft', 'Microsoft Azure', 'Wiz']",20,Conor Dunne
Microsoft,Read unread emails & analyze any URLs mentioned,"['Microsoft', 'ServiceNow', 'URLScan.io']",22,Shaun Finn
Microsoft,Send SMS with Twilio if assigned to a Case in Tines,"['Microsoft', 'Tines', 'Twilio']",15,Michael Tolan
Microsoft,Deallocate and delete unnecessary virtual machines in Azure and raise tickets,"['Jira Software', 'Microsoft', 'Microsoft Azure']",27,Michael Tolan
Microsoft,SIGMA converter for YAML,"['Microsoft', 'Splunk']",10,Nathan Collings at Holland & Barrett
Microsoft,Add user to Entra ID,"['Microsoft', 'Microsoft Azure']",11,
Microsoft,"Ingest Opsgenie alerts, enrich data, and create Jira issue with notifications in Slack","['Jira Software', 'Microsoft', 'OpsGenie', 'Qualys', 'Slack', 'URLScan.io', 'VirusTotal']",16,
Microsoft,Manage Sharepoint sites,"['Jira Software', 'Microsoft', 'Microsoft Teams']",20,Shaun Finn
Microsoft,Save attachments from emails in Microsoft Outlook to Microsoft OneDrive,"['Microsoft', 'Microsoft OneDrive']",6,Conor Dunne
Microsoft,Disable a user in Duo Security and Azure Entra ID while alerting PagerDuty,"['Duo Security', 'Microsoft', 'PagerDuty']",12,
Microsoft,Create many new Microsoft Entra ID users using Tines pages,"['Microsoft', 'Microsoft Azure']",16,Conor Dunne
Microsoft,Create dynamic groups in Azure Active Directory,"['Microsoft', 'Microsoft Azure']",14,
Microsoft,Track Google search trends using SerpApi and save to OneDrive,"['Google', 'Microsoft', 'Microsoft OneDrive', 'SerpApi']",10,Michael Tolan
Microsoft,Convert a Tines case to a Microsoft Word document with TurboDocX,"['Microsoft', 'TurboDocx']",13,Aaron Sandow
Microsoft,Email template personalization using Microsoft Outlook,['Microsoft'],8,Aeon Psych
Microsoft,Manage Microsoft Teams chat membership,"['Microsoft', 'Microsoft Teams']",18,Nathan Collings at Holland & Barrett
Microsoft,Receive virtual machine deployment events from Azure Event Grid and alert in Slack and Jira,"['Jira Software', 'Microsoft', 'Microsoft Azure', 'Slack']",10,Michael Tolan
Microsoft,"Enrich CVE information using Microsoft, Recorded Future, CIRCL and GreyNoise","['GreyNoise', 'Microsoft', 'Recorded Future']",6,Michael Tolan
VirusTotal,"Analyze phishing email senders, URLs, & attachments","['EmailRep', 'Sublime Security', 'URLScan.io', 'VirusTotal']",51,
VirusTotal,Analyze CrowdStrike detections,"['CrowdStrike', 'Jira Software', 'Slack', 'VirusTotal']",13,
VirusTotal,Analyze a file in VirusTotal,['VirusTotal'],21,
VirusTotal,Analyze and triage suspicious emails with various tools,"['CrowdStrike', 'EmailRep', 'Jira Software', 'NextDNS', 'URLScan.io', 'VirusTotal']",59,Michael Tolan
VirusTotal,Analyze domains through multiple sources,"['URLScan.io', 'VirusTotal']",16,
VirusTotal,Analyze an IP in many services at once,"['AbuseIPDB', 'APIVoid', 'GreyNoise', 'Jira Software', 'Pulsedive', 'VirusTotal']",13,Michael Tolan
VirusTotal,Analyze a hash in VirusTotal,['VirusTotal'],15,Michael Tolan
VirusTotal,Lookup IOCs in different tools via Slackbot,"['AbuseIPDB', 'Anomali ThreatStream', 'CrowdStrike', 'Hunter.io', 'Hybrid Analysis', 'MetaDefender', 'Pulsedive', 'Slack', 'URLScan.io', 'VirusTotal']",66,Emily Nguyen
VirusTotal,Identify and remediate malicious SentinelOne threats with VirusTotal,"['Jira Software', 'SentinelOne', 'VirusTotal']",40,
VirusTotal,"Ingest, analyze and store IOCs with Tines","['AbuseIPDB', 'CrowdStrike', 'GreyNoise', 'Pulsedive', 'Sublime Security', 'Tines', 'URLScan.io', 'VirusTotal']",45,Michael Tolan
VirusTotal,Create an IP enrichment API,"['GreyNoise', 'Pulsedive', 'VirusTotal']",6,
VirusTotal,Analyse an IP address,"['Shodan', 'VirusTotal']",5,
VirusTotal,Enrich & remediate suspicious logins reported in Okta,"['AbuseIPDB', 'Okta', 'Slack', 'VirusTotal']",14,Derek Wohlfahrt
VirusTotal,Analyze and triage suspicious emails across tools and Tines cases,"['CrowdStrike', 'EmailRep', 'Tines', 'URLScan.io', 'VirusTotal']",65,Michael Tolan
VirusTotal,Analyze domains via slash command in Microsoft Teams,"['Microsoft Teams', 'VirusTotal']",10,
VirusTotal,Submit URL for analysis via Slackbot and return screenshot of results,"['Slack', 'URLScan.io', 'VirusTotal']",9,
VirusTotal,Monitor US-CERT for IOCs and block dynamically,['VirusTotal'],14,
VirusTotal,Search IOCs on webpages in VirusTotal and Circl CVE,['VirusTotal'],45,Conor Dunne
VirusTotal,Retrieve files from devices in CrowdStrike,"['CrowdStrike', 'VirusTotal']",47,Conor Dunne
VirusTotal,Investigate EDR alerts from Carbon Black,"['Jira Software', 'PagerDuty', 'VirusTotal']",11,Shaun Finn
VirusTotal,Search and Update Splunk Notable with VirusTotal Enrichment with case management and Microsoft Teams notification,"['Microsoft Teams', 'Splunk', 'VirusTotal']",18,
VirusTotal,Retrieve Proofpoint events and log issues in Jira,"['EmailRep', 'Jira Software', 'Proofpoint', 'URLScan.io', 'VirusTotal']",11,Michael Tolan
VirusTotal,Run a query in Snowflake,"['Slack', 'Snowflake', 'VirusTotal', 'Zendesk']",5,
VirusTotal,Triage email attachments with Material Security,"['Material Security', 'VirusTotal']",13,
VirusTotal,Receive enriched IP information via Slack,"['AbuseIPDB', 'GreyNoise', 'Slack', 'VirusTotal']",6,Aaron Sandow
VirusTotal,Analyze SMS phishing with the AI action,"['MISP', 'Slack', 'URLScan.io', 'VirusTotal']",33,Michael Fischler at Roblox
VirusTotal,Enrich CrowdStrike incidents with VirusTotal & send to TheHive,"['CrowdStrike', 'TheHive Project', 'VirusTotal']",25,Conor Dunne
VirusTotal,Add suspicious domains to Google Chronicle reference list,"['Google', 'VirusTotal']",5,
VirusTotal,Enrich OpenCTI malware analysis with VirusTotal observables,"['OpenCTI', 'VirusTotal']",21,Conor Dunne
VirusTotal,Respond to a CrowdStrike detection in ServiceNow,"['CrowdStrike', 'VirusTotal']",28,
VirusTotal,Investigate and remediate multiple denied MFA push requests in Okta,"['IPQualityScore', 'Microsoft Teams', 'Okta', 'Tines', 'VirusTotal']",31,Claudia Kinsella
VirusTotal,"Ingest, enrich, and remediate ExtraHop alerts and block suspicious URLs with Zscaler","['AbuseIPDB', 'Extrahop', 'Microsoft Teams', 'URLScan.io', 'VirusTotal', 'Zscaler']",15,
VirusTotal,"Process CrowdStrike detections, check hashes in VirusTotal, and create tickets in IRIS","['CrowdStrike', 'IRIS', 'VirusTotal']",16,Michael Tolan
VirusTotal,Manage access to web pages with Island browser,"['Island', 'VirusTotal']",21,Conor Dunne
VirusTotal,Create VirusTotal domain reputation summaries using NVIDIA AI,"['NVIDIA', 'Slack', 'VirusTotal']",18,Conor Dunne
VirusTotal,"Ingest Opsgenie alerts, enrich data, and create Jira issue with notifications in Slack","['Jira Software', 'Microsoft', 'OpsGenie', 'Qualys', 'Slack', 'URLScan.io', 'VirusTotal']",16,
VirusTotal,Lookup a file in VirusTotal,['VirusTotal'],26,Michael Tolan
VirusTotal,Process & enrich Cylance detections,"['Cylance', 'Slack', 'VirusTotal', 'Zendesk']",29,
VirusTotal,Enrich IPs with VirusTotal Enterprise,['VirusTotal'],8,
VirusTotal,Analyze email attachment hashes from Sublime Security with VirusTotal,"['Jira Software', 'Sublime Security', 'VirusTotal']",33,Michael Tolan
VirusTotal,Retrieve blocked DNS queries from AdGuard and enrich with VirusTotal and LimaCharlie,"['AdGuard', 'LimaCharlie', 'VirusTotal']",15,Conor Dunne
VirusTotal,Standardize and enrich EDR alerts across platforms,"['CrowdStrike', 'Jira Software', 'Slack', 'VirusTotal']",26,Shaun Finn
VirusTotal,Manage alerts from Vorlon with Tines cases and records,"['VirusTotal', 'Vorlon']",38,Anil at Vorlon
Microsoft Azure,Add a new user in Microsoft Entra ID,"['Jira Software', 'Microsoft', 'Microsoft Azure', 'Microsoft Teams']",6,Michael Tolan
Microsoft Azure,Add new employees to BambooHR and manage system access,"['BambooHR', 'Google', 'Microsoft Azure', 'Okta', 'Slack']",17,Michael Tolan
Microsoft Azure,Query Log Analytics for Azure Sentinel alerts,"['Microsoft', 'Microsoft Azure']",5,
Microsoft Azure,Disable accounts in Microsoft Entra ID,"['Jira Software', 'Microsoft Azure']",14,
Microsoft Azure,Invalidate user's password in Azure Active Directory,"['Microsoft', 'Microsoft Azure']",9,
Microsoft Azure,Invalidate authentication sessions for a user in Azure Entra ID,"['Microsoft', 'Microsoft Azure']",17,Michael Tolan
Microsoft Azure,Take action on Azure Sentinel alerts depending on severity level,"['Jira Software', 'Microsoft', 'Microsoft Azure', 'Microsoft Teams']",30,Shaun Finn
Microsoft Azure,Retrieve and remediate Cyera issues,"['Cyera', 'Microsoft', 'Microsoft Azure', 'Microsoft OneDrive']",45,Monolithic Power Systems
Microsoft Azure,Create new Azure AD users via a form,"['Jira Software', 'Microsoft', 'Microsoft Azure']",10,Shaun Finn
Microsoft Azure,Review Azure Activity Reports for inactive user and licenses,"['Microsoft', 'Microsoft Azure']",12,Conor Dunne
Microsoft Azure,Add IOCs from Pulsedive to Azure Sentinel,"['Microsoft Azure', 'Pulsedive']",5,
Microsoft Azure,Monitor Azure AD MFA fraud alerts and track in Jira,['Microsoft Azure'],10,Nate Adams at Sophos
Microsoft Azure,Receive Azure Sentinel alerts and block IPs with firewall rules,"['Microsoft', 'Microsoft Azure']",15,Conor Dunne
Microsoft Azure,Find and reboot devices with failed Microsoft Intune updates,"['Microsoft', 'Microsoft Azure']",6,Conor Dunne
Microsoft Azure,Retrieve new alerts from Microsoft Defender and create issues in Jira,"['Jira Software', 'Microsoft Azure', 'Microsoft Defender']",21,Michael Tolan
Microsoft Azure,Enrich CrowdStrike detections with Active Directory and correlate in Jira tickets,"['CrowdStrike', 'Jira Software', 'Microsoft', 'Microsoft Azure']",24,
